key,English,Italian
quest_tier5_GunGameG_offer,"You need to kill 100 zombies with the received pipe machine gun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la mitragliatrice tubolare ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier5_GunGameG_repeat_offer,"You need to kill 100 zombies with the received pipe machine gun. Death will fail the quest.","Devi uccidere 100 zombie con la mitragliatrice tubolare ricevuta. Fallisci il gioco delle armi se muori."
quest_tier6_GunGameG,"Tier 6 Gun Game","Gioco Delle Armi Grado 6"
quest_tier6_GunGameG_subtitle,"Kill 100 Zombies With Wooden Bow","Uccidi 100 Zombie Usando L'Arco Di Legno"
quest_tier6_GunGameG_offer,"You need to kill 100 zombies with the received wooden bow. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con l'arco di legno ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier6_GunGameG_repeat_offer,"You need to kill 100 zombies with the received wooden bow. Death will fail the quest.","Devi uccidere 100 zombie con l'arco di legno ricevuto. Fallisci il gioco delle armi se muori."
quest_tier7_GunGameG,"Tier 7 Gun Game","Gioco Delle Armi Grado 7"
quest_tier7_GunGameG_subtitle,"Kill 100 Zombies With Double Barrel Shotgun","Uccidi 100 Zombie Usando La Doppietta"
quest_tier7_GunGameG_offer,"You need to kill 100 zombies with the received double barrel shotgun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la doppietta ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier7_GunGameG_repeat_offer,"You need to kill 100 zombies with the received double barrel shotgun. Death will fail the quest.","Devi uccidere 100 zombie con la doppietta ricevuta. Fallisci il gioco delle armi se muori."
quest_tier8_GunGameG,"Tier 8 Gun Game","Gioco Delle Armi Grado 8"
quest_tier8_GunGameG_subtitle,"Kill 100 Zombies With Iron Crossbow","Uccidi 100 Zombie Usando La Balestra Di Ferro"
quest_tier8_GunGameG_offer,"You need to kill 100 zombies with the received iron crossbow. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la balestra di ferro ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier8_GunGameG_repeat_offer,"You need to kill 100 zombies with the received iron crossbow. Death will fail the quest.","Devi uccidere 100 zombie con la balestra di ferro ricevuta. Fallisci il gioco delle armi se muori."
quest_tier9_GunGameG,"Tier 9 Gun Game","Gioco Delle Armi Grado 9"
quest_tier9_GunGameG_subtitle,"Kill 100 Zombies With Pistol","Uccidi 100 Zombie Usando La Pistola"
quest_tier9_GunGameG_offer,"You need to kill 100 zombies with the received pistol. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la pistola ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier9_GunGameG_repeat_offer,"You need to kill 100 zombies with the received pistol. Death will fail the quest.","Devi uccidere 100 zombie con la pistola ricevuta. Fallisci il gioco delle armi se muori."
quest_tier10_GunGameG,"Tier 10 Gun Game","Gioco Delle Armi Grado 10"
quest_tier10_GunGameG_subtitle,"Kill 100 Zombies With Hunting Rifle","Uccidi 100 Zombie Usando Il Fucile Da Caccia"
quest_tier10_GunGameG_offer,"You need to kill 100 zombies with the received hunting rifle. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con ll fucile da caccia ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier10_GunGameG_repeat_offer,"You need to kill 100 zombies with the received hunting rifle. Death will fail the quest.","Devi uccidere 100 zombie con ll fucile da caccia ricevuto. Fallisci il gioco delle armi se muori."
quest_tier11_GunGameG,"Tier 11 Gun Game","Gioco Delle Armi Grado 11"
quest_tier11_GunGameG_subtitle,"Kill 100 Zombies With Compound Bow","Uccidi 100 Zombie Usando L'Arco Composito"
quest_tier11_GunGameG_offer,"You need to kill 100 zombies with the received compound bow. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con l'arco composito ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier11_GunGameG_repeat_offer,"You need to kill 100 zombies with the received compound bow. Death will fail the quest.","Devi uccidere 100 zombie con l'arco composito ricevuto. Fallisci il gioco delle armi se muori."
quest_tier12_GunGameG,"Tier 12 Gun Game","Gioco Delle Armi Grado 12"
quest_tier12_GunGameG_subtitle,"Kill 100 Zombies With Pump Shotgun","Uccidi 100 Zombie Usando Il Fucile A Pompa"
quest_tier12_GunGameG_offer,"You need to kill 100 zombies with the received pump shotgun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con ll fucile a pompa ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier12_GunGameG_repeat_offer,"You need to kill 100 zombies with the received pump shotgun. Death will fail the quest.","Devi uccidere 100 zombie con ll fucile a pompa ricevuto. Fallisci il gioco delle armi se muori."
quest_tier13_GunGameG,"Tier 13 Gun Game","Gioco Delle Armi Grado 13"
quest_tier13_GunGameG_subtitle,"Kill 100 Zombies With AK-47 Machine Gun","Uccidi 100 Zombie Usando La Mitragliatrice AK-47"
quest_tier13_GunGameG_offer,"You need to kill 100 zombies with the received AK-47 machine gun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la mitragliatrice AK-47 ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier13_GunGameG_repeat_offer,"You need to kill 100 zombies with the received AK-47 machine gun. Death will fail the quest.","Devi uccidere 100 zombie con la mitragliatrice AK-47 ricevuta. Fallisci il gioco delle armi se muori."
quest_tier14_GunGameG,"Tier 14 Gun Game","Gioco Delle Armi Grado 14"
quest_tier14_GunGameG_subtitle,"Kill 100 Zombies With .44 Magnum","Uccidi 100 Zombie Usando Il .44 Magnum"
quest_tier14_GunGameG_offer,"You need to kill 100 zombies with the received .44 magnum. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con ll .44 magnum ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier14_GunGameG_repeat_offer,"You need to kill 100 zombies with the received .44 magnum. Death will fail the quest.","Devi uccidere 100 zombie con ll .44 magnum ricevuto. Fallisci il gioco delle armi se muori."
quest_tier15_GunGameG,"Tier 15 Gun Game","Gioco Delle Armi Grado 15"
quest_tier15_GunGameG_subtitle,"Kill 100 Zombies With Compound Crossbow","Uccidi 100 Zombie Usando La Balestra Composita"
quest_tier15_GunGameG_offer,"You need to kill 100 zombies with the received compound crossbow. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la balestra composita ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier15_GunGameG_repeat_offer,"You need to kill 100 zombies with the received compound crossbow. Death will fail the quest.","Devi uccidere 100 zombie con la balestra composita ricevuta. Fallisci il gioco delle armi se muori."
quest_tier16_GunGameG,"Tier 16 Gun Game","Gioco Delle Armi Grado 16"
quest_tier16_GunGameG_subtitle,"Kill 100 Zombies With SMG-5","Uccidi 100 Zombie Usando Il SMG-5"
quest_tier16_GunGameG_offer,"You need to kill 100 zombies with the received SMG-5. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il SMG-5 ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier16_GunGameG_repeat_offer,"You need to kill 100 zombies with the received SMG-5. Death will fail the quest.","Devi uccidere 100 zombie con il SMG-5 ricevuto. Fallisci il gioco delle armi se muori."
quest_tier17_GunGameG,"Tier 17 Gun Game","Gioco Delle Armi Grado 17"
quest_tier17_GunGameG_subtitle,"Kill 100 Zombies With Lever Action Rifle","Uccidi 100 Zombie Usando Il Fucile A Leva"
quest_tier17_GunGameG_offer,"You need to kill 100 zombies with the received lever action rifle. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il fucile a leva ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier17_GunGameG_repeat_offer,"You need to kill 100 zombies with the received lever action rifle. Death will fail the quest.","Devi uccidere 100 zombie con il fucile a leva ricevuto. Fallisci il gioco delle armi se muori."
quest_tier18_GunGameG,"Tier 18 Gun Game","Gioco Delle Armi Grado 18"
quest_tier18_GunGameG_subtitle,"Kill 100 Zombies With Tactical Assault Rifle","Uccidi 100 Zombie Usando Il Fucile D'Assalto Tattico"
quest_tier18_GunGameG_offer,"You need to kill 100 zombies with the received tactical assault rifle. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il fucile d'assalto tattico ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier18_GunGameG_repeat_offer,"You need to kill 100 zombies with the received tactical assault rifle. Death will fail the quest.","Devi uccidere 100 zombie con il fucile d'assalto tattico ricevuto. Fallisci il gioco delle armi se muori."
quest_tier19_GunGameG,"Tier 19 Gun Game","Gioco Delle Armi Grado 19"
quest_tier19_GunGameG_subtitle,"Kill 100 Zombies With .44 Desert Vulture","Uccidi 100 Zombie Usando Il .44 Avvoltoio Del Deserto"
quest_tier19_GunGameG_offer,"You need to kill 100 zombies with the received .44 desert vulture. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il .44 avvoltoio del deserto ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier19_GunGameG_repeat_offer,"You need to kill 100 zombies with the received .44 desert vulture. Death will fail the quest.","Devi uccidere 100 zombie con il .44 avvoltoio del deserto ricevuto. Fallisci il gioco delle armi se muori."
quest_tier20_GunGameG,"Tier 20 Gun Game","Gioco Delle Armi Grado 20"
quest_tier20_GunGameG_subtitle,"Kill 100 Zombies With Sniper Rifle","Uccidi 100 Zombie Usando Il Fucile Da Cecchino"
quest_tier20_GunGameG_offer,"You need to kill 100 zombies with the received sniper rifle. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il fucile da cecchino ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier20_GunGameG_repeat_offer,"You need to kill 100 zombies with the received sniper rifle. Death will fail the quest.","Devi uccidere 100 zombie con il fucile da cecchino ricevuto. Fallisci il gioco delle armi se muori."
quest_tier21_GunGameG,"Tier 21 Gun Game","Gioco Delle Armi Grado 21"
quest_tier21_GunGameG_subtitle,"Kill 100 Zombies With Auto Shotgun","Uccidi 100 Zombie Usando Il Fucile Automatico"
quest_tier21_GunGameG_offer,"You need to kill 100 zombies with the received auto shotgun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il fucile automatico ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier21_GunGameG_repeat_offer,"You need to kill 100 zombies with the received auto shotgun. Death will fail the quest.","Devi uccidere 100 zombie con il fucile automatico ricevuto. Fallisci il gioco delle armi se muori."
quest_tier22_GunGameG,"Tier 22 Gun Game","Gioco Delle Armi Grado 22"
quest_tier22_GunGameG_subtitle,"Kill 100 Zombies With M60 Machine Gun","Uccidi 100 Zombie Usando La Mitragliatrice M60"
quest_tier22_GunGameG_offer,"You need to kill 100 zombies with the received M60 machine gun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la mitragliatrice M60 ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier22_GunGameG_repeat_offer,"You need to kill 100 zombies with the received M60 machine gun. Death will fail the quest.","Devi uccidere 100 zombie con la mitragliatrice M60 ricevuta. Fallisci il gioco delle armi se muori."
quest_tier23_GunGameG,"Tier 23 Gun Game","Gioco Delle Armi Grado 23"
quest_tier23_GunGameG_subtitle,"Kill 100 Zombies With Rocket Launcher","Uccidi 100 Zombie Usando Il Lanciarazzi"
quest_tier23_GunGameG_offer,"You need to kill 100 zombies with the received rocket launcher. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il lanciarazzi ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier23_GunGameG_offer,"You need to kill 100 zombies with the received rocket launcher. Death will fail the quest.","Devi uccidere 100 zombie con il lanciarazzi ricevuto. Fallisci il gioco delle armi se muori."
